content,tokens
" Timekeeping Procedures  Employees must record their actual time worked in our HRIS system for payroll and benefit purposes.  Non-exempt employees must record the time work begins and ends, as well as the beginning and ending  time of any departure from work. Non-exempt employees may not start work until their scheduled  starting time.  Exempt employees are required to report full days of absence from work for reasons such as vacation,  leaves of absence, sick leave or personal business.  Altering, falsifying or tampering with time records, or working “off the clock” are strictly prohibited.  Employees are responsible for certifying the accuracy of all time recorded. Any errors in time records  should be reported immediately to the employee’s supervisor or a People Team Member. 7  ",138
" Overtime Pay for Non-Exempt Employees  It is sometimes necessary for employees to work overtime. Non-exempt employees must obtain written  approval from their supervisor in advance of working any hours that would trigger overtime pay. The  Company will pay non-exempt employees overtime pay at the rate of time and one-half the regular rate  of pay for all hours actually worked over 40 during the established work week. The Company will also pay  overtime to the extent required under any applicable state or local law.  The Company will pay for overtime even if the employee does not obtain advanced written authorization  from the supervisor as required. However, anyone who works unauthorized overtime may be subject to  disciplinary action up to and including termination. Paid or unpaid time off pursuant to any Company  policy (for example, paid time off, holidays, sick time), will not be counted as hours worked for purposes  of determining whether an employee is entitled to receive overtime pay.  For questions about overtime pay or any state-specific overtime requirements, contact a People Team  Member.   ",190
" Lactation Breaks  The Company will provide a reasonable amount of break time during the workday, in addition to the  standard breaks that an employee receives, to accommodate an employee’s need to express milk for the  employee’s infant child for up to two years after the birth of the child. In certain circumstances where  permitted by law, such additional break time provided may be unpaid for non-exempt employees. The  Company will provide a room or other private location appropriate for the expression of milk. The  Company will also comply with any additional requirements under applicable state and local laws.   ",109
 Breaks and Meal Periods  Employees are provided with breaks and meal periods according to Company policy and applicable wage  and hour laws.   ,23
" Salary for Exempt Employees  Exempt employees are generally paid a fixed salary for their job responsibilities, without regard to the  number of hours needed in a work week to complete the job. Exempt employees are not eligible for  overtime pay but are required to spend whatever hours are necessary to fulfill their job responsibilities.  Similarly, regardless of variations in the number of days or hours worked or the quality of the work  performed, the Company will not make deductions from an exempt employee’s salary for any work week  in which the employee worked, unless such deductions are authorized by law.  There are certain circumstances where deductions from the salaries of exempt employees are  permissible. Improper deductions for exempt employees are prohibited by the Company. Any employee  who is exempt and believes that an improper deduction has been made to his or her salary should  immediately notify a People Team Member. The Company will promptly review and investigate any  complaint and will reimburse any employee found to have been subject to an improper salary deduction. 8  TIME AWAY FROM WORK  ",192
" Holidays  The Company generally recognizes ten paid holidays each calendar year. Holiday pay is paid at eight hours per holiday and is not included in the calculation of overtime. Holidays may shift during the year  depending on the day on which they fall, but generally follow the list below:  Annual Holidays:   • New Year’s Day  • Good Friday  • Memorial Day  • Juneteenth  • Independence Day (July 4)  • Labor Day  • Thanksgiving Day  • Day After Thanksgiving  • Christmas Day  • Floating holiday (1)  ",96
" Paid Time Off (PTO)  The Company believes in offering both a generous and flexible Paid Time Off (“PTO”) program that allows  employees to work directly with their supervisor to manage the time an employee needs away from work  for instances such as personal time, vacation, and sick time.. PTO is provided to all full-time employees  and administered in accordance with Company policies and applicable state law.. Please refer to the state  specific addendum of the state where you work for further details about any state-specific paid leave  details.. Expectations for Employees Taking Leave  It is the expectation that employees taking leave adhere to the following expectations:  • Submit the leave at least 2 weeks in advance using our HRIS system unless the need for leave is  unforeseeable and related to sickness, a public health emergency, or domestic violence.. • Communicate regularly with your team that you will be out and develop a clear handover or  coverage plan to your team so your customers and responsibilities will be managed while you are  away.. • Understand that not all leave requests can be honored at all times due to staffing shortages, high  priority business needs and deadlines, or other business reasons.. Discuss your plans early with  your manager with this in mind.. • You’re able to meet your goals despite your absence.. If you’re taking a substantial amount of  leave without meeting your goals, this may indicate an issue with performance that will be  addressed, and leave may subsequently be denied.. • That you are informing a People Team Member if your leave is related to illness, leave of absence,  or potentially part of an FMLA request.. 9  Full-Time Exempt Employees  Full-time exempt employees are eligible to take flexible leave.. Employees may use flexible leave in any  increments of time.. There are no minimum allowances of maximum limits on flexible leave, subject to  the Company’s notice and approval process, unless the time off is for a reason that qualifies for family or  medical leave, military leave, parental leave, and/or short-term disability:  • Family and Medical Leave – Flexible leave may be used to extend the period of family medical  leave.. • Parental Leave – Flexible leave may be used to extend the period of parental leave.. Employees  who need parental leave are eligible for compensation as provided in the Parental Leave policy.. • Short-Term Disability – Flexible leave may be used to extend the period of or increase  compensation during other types of leave which qualify for short-term disability benefits.. Flexible  leave may be used during the wait period for short-term disability benefits.. • Military Leave – Flexible leave may not be used to extend the period of military leave.. Up to two  weeks of flexible leave may be applied to provide compensation during military leave.. Flexible leave is not accrued or earned and is not paid out upon termination.. Exempt employees are able  to review their leave history in our HRIS system..",541
" Parental Leave  The Company may grant a full-time employee a paid Parental Leave of Absence. Parental Leave is paid  leave associated with the birth of an employee’s own child or the placement of a child with the employee  in connection with adoption or foster care. The Company reserves the right to deny Parental Leave in  accordance with applicable law. 10  For birthing parents, this includes two (2) paid weeks of parental leave in addition to paid time off. For  non-birthing parents, this includes two (2) weeks of paid parental leave in a 6-month period as measured  from the first day of an employee’s leave, as well as paid time off. Eligible employees are also entitled to  utilizing short-term disability for their parental leave. If you would like more information about short  term disability, reach out to a People team member.   An employee may request Parental Leave by submitting their leave in our HRIS system, and during the  leave, the Company maintains the employee’s health coverage under any group plan on the same terms  as if the employee had continued to work. Employees must continue to pay their portion of any insurance  premium while on leave.  When the need for leave is foreseeable, the employee must provide the Company with at least sixty days  advance notice as well as assist with planning for coverage during their absence. When the timing of the  leave is not foreseeable, the employee must provide the Company with notice for the need for leave as  soon as its reasonably practicable under the circumstances.  In addition to requesting the leave, the employee is responsible for communicating with a People Team  Member during the leave regarding, among other things, changes in status and contact information. In  addition, the employee is responsible for cooperating with the People Team Member by responding  promptly to all requests for information by e-mail or telephone.   Before an employee performs any work on behalf of the Company after taking Parental Leave, the  employee may be required to submit a Fit for Duty form completed and signed by the employee’s health  care provider that states whether the employee is able to perform the essential functions of the  employee’s job, with or without a reasonable accommodation.  ",412
" Family & Medical Leave  This policy provides employees with a general description of their Family and Medical Leave Act (FMLA)  rights.. In the event of any conflict between this policy and the applicable law, employees will be afforded  all rights required by law.. If you have any questions or concerns about this policy or FMLA leave, please  contact a People Team Member.. Leave Entitlements  Eligible employees who work at a location where 50 or more employees are employed by the Company  within 75 miles can take up to 12 weeks of unpaid, job-protected leave in a 12-month period for the  following reasons:  • The birth of a child or placement of a child for adoption or foster care;  • To bond with a child (leave must be taken within 1 year of the child’s birth or placement); • To care for the employee’s spouse, child, or parent who has a qualifying serious health  condition;  • For the employee’s own qualifying serious health condition that makes the employee unable  to perform the employee’s job;  • For qualifying exigencies related to the foreign deployment of a military member who is the  employee’s spouse, child, or parent.. 11  An eligible employee who is a covered servicemember’s spouse, child, parent, or next of kin may also take  up to 26 weeks of FMLA leave in a single 12-month period to care for the servicemember with a serious  injury or illness.. An employee does not need to use leave in one block.. When it is medically necessary or otherwise  permitted, employees may take leave intermittently or on a reduced schedule.. Employees may choose, or the Company may require, use of accrued paid leave, parental leave, or short term disability while taking FMLA leave.. If an employee substitutes paid leave for FMLA leave, the  employee must comply with the Company’s normal paid leave policies, and such paid leave will run  concurrently with FMLA leave.. Benefits and Protections  While employees are on FMLA leave, the Company will continue health insurance coverage as if the  employees were not on leave.. Upon return from FMLA leave, most employees must be restored to the same job or one nearly identical  to it with equivalent pay, benefits, and other employment terms and conditions.. The Company will not interfere with an individual’s FMLA rights or retaliate against someone for using or  trying to use FMLA leave, opposing any practice made unlawful by the FMLA, or being involved in any  proceeding under or related to the FMLA.. Eligibility Requirements  An employee must meet three criteria in order to be eligible for FMLA leave.. The employee must:  • Have worked for the Company for at least 12 months;  • Have at least 1,250 hours of service in the 12 months before taking leave; and • Work at a location where the Company has at least 50 employees within 75 miles of the  employee’s worksite..",547
" Bereavement (Funeral) Leave  The Company provides paid leave to full-time employees of up to three days to attend the funeral of a family member or loved one. If more time off is needed than provided above, employees may request  PTO.   ",45
" Jury Duty   The Company recognizes jury duty as a civic responsibility for everyone. When summoned for jury duty,  employees will be granted leave to perform their duty as a juror. If an employee is excused from jury duty  during regular work hours, they are expected to report to work promptly, if scheduled. Employees receive  pay for the first three days of jury duty if they are scheduled to work. Jury duty leave beyond this time is  without pay unless applicable state law requires additional pay. Employees must notify their supervisor  and a People Team Member immediately if they receive a jury duty notice or summons. The Company  may request a written verification of jury service.   ",125
" Time Off to Vote  The Company encourages its employees to participate in the political process by voting in federal, state,  and local elections. The Company will abide by state and federal laws related to providing time off or  scheduling changes to allow employees sufficient time to vote. The Company encourages its employees  to vote absentee, early, or by mail to accommodate work schedule demands. For specific state law voting  time questions, contact a People Team Member.   ",85
" Military Leave  The Company complies with applicable laws pertaining to military leave. Employees who are required to  fulfill military obligations in any branch of the Armed Forces of the United States or in state military service  will be given the necessary time off and reinstated in accordance with federal and state law. Military  orders should be presented to a People Team Member and arrangements for leave made as early as  possible before departure. Employees must notify a People Team Member of their intent to return to  employment as required by applicable law. No attempt is made in this policy to cover all possible  applicable laws and circumstances that may arise when an employee is ordered to active duty. Therefore,  as military leave situations arise, employees should consult with a People Team Member for current and  complete details regarding their military leave rights. 13  ",151
" Volunteer Time Off (VTO)  The Company strives to be a good corporate citizen and take an active interest in the well-being of the  communities in which it operates. As such, the Company encourages its employees to volunteer in their  local community. Full-time employees may request one paid day off each calendar year to volunteer to  help those in need. VTO is not included in the calculation of overtime. VTO is refreshed at the beginning  of each calendar year, cannot be accrued or carried over into the following year, and is not paid out upon  termination. Additional volunteer time off may be paid through approved PTO.   As a condition of this benefit, the Company requires that your request be in good faith and follow the  intent of this policy. Examples of appropriate uses for VTO: volunteering at a local food bank; coaching a  basketball team of disadvantaged youth; becoming a Big Brother/Big Sister; sitting on a non-profit board.  Examples of inappropriate uses for VTO: coaching your child’s sports team; attending your child’s PTA  conference; or using VTO for non-volunteer reasons.  Employees requesting VTO should submit the time off request in our HRIS system for approval.  ",222
 Personal Leave  Employees who must be away from their job for greater lengths of time than the Company’s standard  leave policies allow may request a general leave of absence without pay. Employees generally must use  any accrued PTO prior to requesting a general leave of absence without pay. Whether to grant such a  leave and the conditions of any such leave that is granted will be decided in the sole discretion of the  Company and in accordance with applicable law. Employees may not be guaranteed a return to the same  job.  ,97
 Other State Specific Leave  States may offer additional leave types. Please contact a People Team Member if you have questions  about leave available in a particular state.   EMPLOYEE BENEFITS  ,31
" Group Benefits  The Company strives to provide a comprehensive employee benefits program to promote employees’  health and work-life balance. Benefits may include medical, dental, vision, life insurance, and other types  of benefits. Benefit eligibility depends on a variety of factors including employee classification and length  of service with the Company. Eligibility and coverage are subject to the terms and conditions of the  respective benefit plans.   The Company may change the design and the cost of benefits and/or the percentage of employee  contribution required from time to time at its sole discretion. For further information and plan details,  contact a People Team Member.   ",114
 Commuter Benefit  The Company provides a monthly stipend to commuters who travel into our Colorado and Texas offices  at least 3 days a week. Your stipend is dependent on your home address and its proximity to the office.  14  WORKPLACE SAFETY  ,43
" Motor Vehicle and Driver Safety Policy  The Company recognizes that our employees may be required to drive a Company vehicle or rent a  Company vehicle for business reasons. Any driver of a Company vehicle must meet the following  eligibility requirements:  • Possess a valid driver’s license,  • Maintain an acceptable and insurable driving record,  • Utilization of Company vehicle(s) for business purposes only, and  • Adherence to driving laws and regulations.  Any deviation from the above eligibility requirements may result in disciplinary action leading up to and  including termination.   ",101
" Drugs and Alcohol  The Company is committed to providing a safe, healthy, and productive work environment free from the  effects of substance abuse.   The Company prohibits the use, consumption, possession, sale, attempted sale, manufacture, purchase,  solicitation, or transfer of any substances prohibited under applicable law by any employee on Company  premises or on the job. The Company reserves the right to test its employees for the use of prohibited  substances in accordance with applicable law.  Moderate consumption of alcohol may be allowed from time to time at Company functions, but only if it  is done so responsibly. No employee is required or urged to drink alcohol at any such function or as a part  of the employee’s job. Whether or not an employee decides to do so is his or her own personal choice.  Under no circumstances shall an employee be impaired while working, operating motor vehicles, driving  a Company vehicle or rental vehicle, or a personal vehicle used while conducting Company business.   ",186
" Safety and Incident Reporting  The Company is committed to a safe working environment for its employees. The biggest single factor in  ensuring safety on the job is you. It is your responsibility to both yourself and those working in your area  to practice safe work habits and to report any unsafe incident, practice, or condition immediately to a  supervisor or People Team Member. This includes any near miss incident, unsafe condition, or  injury/illness, regardless of whether medical attention is requested. On-the-job injuries are covered by  the Company’s workers’ compensation insurance, which is provided at no cost to employees. If you are  injured on the job, no matter how slightly, report the incident immediately to a People Team Member.  Failure to follow Company procedures may affect your ability to receive workers compensation benefits  or delay your receipt of such benefits.  ",157
" Inspections  The Company reserves the right to conduct searches and inspections to the maximum extent permitted  by law of any employee or Company-owned property and all portions of its premises including parking  lots without notice for drugs, weapons or other contraband that violates Company policy. All employees  and visitors may be asked to cooperate in inspections of their persons, work areas, and property that  15  might conceal a drug, weapon, or other contraband. Employees who possess such contraband or refuse  to cooperate in such inspections are subject to appropriate discipline up to and including termination of  employment.   ",105
" Violence in the Workplace  The Company strictly prohibits any form of violence in the workplace. Consistent with this policy, acts or threats of physical violence, including, but not limited to, intimidation, harassment, or coercion that  involve or affect the Company occur on the Company’s property, or occur through use of Company-issued  equipment such as phones, computers, and tablets will not be tolerated.   Acts or threats of violence include conduct that is sufficiently severe, offensive, or intimidating to alter  the employment conditions at the Company, or to create a hostile, abusive, or intimidating work  environment for the Company’s employees.   The Company’s prohibition against threats and acts of violence applies to all persons involved in Company  operations including, but not limited to, employees, contractors, temporary workers, clients, customers,  vendors, and anyone else who is on Company property or who is attending a Company event.   If you witness or are subjected to any conduct you believe violates this policy, you must speak, write, or  otherwise contact a manager or People Team Member, as soon as possible. Your complaint should be as  detailed as possible, including the names of all individuals involved and any witnesses. The Company will  investigate all complaints of workplace violence and will take prompt corrective action, as appropriate.  The Company reserves the right to contact law enforcement, if appropriate.  If you become aware of an imminent violent act or threat, immediately contact appropriate law  enforcement or dial 911 if the situation warrants and then contact a People Team Member.  EMPLOYEE CONDUCT  ",296
" Anti-Harassment  The Company is committed to a work environment in which all individuals are treated with respect and  dignity.. Each individual has the right to work in a professional atmosphere that promotes equal  employment opportunities and prohibits unlawful discriminatory practices, including harassment.. The  Company expects that all work-related interactions will be business-like and free of bias, prejudice and  harassment.. The Company prohibits harassment based on race, color, religion, sex, pregnancy, sexual orientation,  gender, gender identity, gender expression, national origin, age, disability, genetic information, veteran  status, or any other characteristic protected by applicable law.. Harassment, for the purposes of this policy, is defined as unwelcome verbal or non-verbal conduct, based  upon a person’s protected characteristic, that denigrates or shows hostility or aversion toward an  individual because of his/her protected characteristic and which: a) has the purpose or effect of creating  an intimidating, hostile or offensive work environment; b) has the purpose or effect of unreasonably  interfering with an individual’s work performance; or c) otherwise adversely affects an individual’s  employment opportunities.. 16  Harassing conduct includes epithets, slurs or negative stereotyping; threatening, intimidating or hostile  acts; denigrating jokes; and written or graphic material that denigrates or shows hostility or aversion  toward an individual or group.. Prohibited harassment includes sexual harassment and conduct that may constitute or lead to sexual  harassment.. For the purposes of this policy, sexual harassment is defined as unwelcome sexual advances,  requests for sexual favors and other verbal or physical conduct of a sexual nature when, for example: a)  submission to such conduct is made either explicitly or implicitly a term or condition of an individual’s  employment; b) submission to or rejection of such conduct by an individual is used as the basis for  employment decisions affecting such individual; or c) such conduct has the purpose or effect of  unreasonably interfering with an individual’s work performance or creating an intimidating, hostile or  offensive working environment.. Sexual harassment may include a range of subtle and not-so-subtle behaviors and may involve individuals  of the same or different gender.. Depending on the circumstances, these behaviors may include unwanted  sexual advances or requests for sexual favors; sexual jokes and innuendo; verbal abuse of a sexual nature;  commentary about an individual’s body, sexual prowess or sexual deficiencies; leering, whistling or  touching; insulting or obscene comments or gestures; display in the workplace of sexually suggestive  objects or pictures; and other physical, verbal or visual conduct of a sexual nature.. Complaint Procedure  If you become aware of incidents or alleged incidents of possible discrimination or harassment, please  immediately report them to your direct supervisor or a People Team Member.. This includes any conduct  that you experience, observe, or hear about..",523
" Communication Systems  The communications systems are property of the Company and intended for business use. Therefore, the  Company maintains the ability to access any computer files, use of software, internet usage, e-mail, and  voicemail. Although employees may select individual passwords, employees should not assume that such  files are confidential. However, other than management acting on behalf of the Company, employees  should not attempt to gain access to another employee’s computer, internet files, e-mail, or voicemail  without permission.   The Company prohibits the use of Company devices for the display, transmittal, or downloading of  material that is in violation of any Company policy, practice, or procedure, or otherwise is offensive,  pornographic, obscene, profane, discriminatory, harassing, insulting, derogatory, or otherwise unlawful. 17  ",150
" Business Ethics Policy  The Company believes that the maintenance of high ethical standards is both mandatory and essential to  its long-term success.. Accordingly, if an employee is concerned about an ethical situation or is not sure  whether specific conduct, including any accounting or auditing matters, meets Company standards or  complies with the law, the employee must immediately bring the situation to the attention of a supervisor  or a People Team Member.. Compliance with Laws and Regulations  The Company strives to comply with all laws and regulations that may apply to its business.. As such, the  Company expects its employees to understand and obey all legal requirements governing the Company’s  business.. If there is any question as to the interpretation of any law or related Company policy consult a  People Team Member.. Entertainment and Gifts  Employees shall not accept or provide costly entertainment, gifts, or money (including loans of money)  under any circumstances from which conflicts between the interests of the employee and the Company  may be implied.. Any employee receiving a gift valued at one hundred dollars or more must report the gift  to their supervisor in writing prior to accepting the gift.. If an employee has any doubts about whether a  gift violates this provision, regardless of the amount of the gift, the employee must immediately contact a People Team Member.. Bribes and Kickbacks  No employee of the Company may accept kickbacks, bribes, or any other form of illegal consideration.. All  contracts and dealings with customers, suppliers, and vendors shall be conducted to avoid even the  appearance of impropriety or the violation of any applicable law, regulation, or Company policy.. Conflicts of Interest  Every employee of the Company has an ethical and legal responsibility to put the interests of the Company  ahead of any other individual, business, commercial, or personal interests of the employee.. A conflict of  interest exists when other business, personal, or commercial interests may interfere with the employee’s  obligation to serve the interests of the Company and its customers and clients.. Even the perception of a  conflict of interest can cause harm to the Company and must be avoided.. If employees have any doubt  about whether a conflict of interest or the appearance of a conflict of interest exists, the employee must  immediately notify a People Team Member.. Confidentiality  The Company prohibits disclosure of the Company’s proprietary or confidential information, and  employees may be required to sign a confidentiality agreement as a condition of employment.. Employees  may not either use or disclose any of the Company’s confidential, proprietary, or non-public information,  either for their own benefit or for the benefit of another.. Corporate Opportunities  Employees owe a duty to the Company to advance the Company’s legitimate interests whenever the  opportunity to do so arises..",512
" Dress Code and Personal Hygiene  Personal appearance and hygiene should be a matter of concern for each employee. While the Company  offers a relaxed dress code, employees should maintain good hygiene and wear clothing that is suitable  to a business environment as well as follow dress code rules based on specific positions within the  Company. Supervisors may ask an employee to leave the workplace until he or she is properly attired  and/or groomed.   ",77
" Social Media Policy  Employees are expected to act appropriately when engaging in activity on social media that identifies the  employee’s affiliation with the Company or that relates in any way to the Company’s business or  employees or to any of its current or potential customers and clients, partners, affiliates, suppliers,  vendors, or competitors.   Social media means any website, app, or other online destination that hosts user-submitted content,  including: social and professional networking sites, such as Instagram, Facebook, or LinkedIn; blogs and  micro-blogs, such as Twitter; location services, such as Foursquare; review-sharing sites, such as Yelp; content-sharing sites, such as YouTube; discussion forums, such as Reddit; or wikis, such as Wikipedia.  Employees must be mindful that their postings on social media may have an adverse effect on the  Company’s business interests, even if the postings are made on personal devices while the employee is  off duty and/or away from work. Accordingly, employees must comply with the following guidelines when  their activities on social media identify their affiliation with the Company or relate in any way to the  Company’s business or employees or to any of its current or potential customers and clients, partners,  affiliates, suppliers, vendors or competitors:  • Activity on social media must comply with all applicable laws and regulations and of the policies  set forth in this Handbook.  • Do not defame or otherwise discredit the products or services of the Company or any of its current  or potential customers and clients, partners, affiliates, suppliers, vendors, or competitors.  • Do not use the Company’s logos, trademarks, or any other proprietary graphics. • Do not disclose personal or contact information of the Company’s employees without their prior  written approval.  • Do not post photographs or videos of the Company’s employees without their prior written  approval.  • Do not post photographs or videos of the Company’s property or the property of the Company’s  customers and clients, partners, affiliates, suppliers, vendors, or competitors without the prior  written permission of all involved parties.  • Do not use a Company email account to set up personal social media accounts or sites.  19  • Do not set up a social media account on behalf of the Company without prior written approval.   The Company will, at its discretion, review social media activity to the fullest extent permitted by  applicable law. Failure to comply with this policy during or after employment might result in legal action,  criminal prosecution, or disciplinary action, up to, and including, termination of employment. The  Company reserves the right to report suspected unlawful conduct to appropriate law enforcement  authorities.   This policy is in no way intended to prohibit employees from engaging in activity protected under the  National Labor Relations Act or any other applicable laws. Protected activity might include employees  discussing among themselves or others their wages, hours, conditions of employment, or workplace  health and safety practices or hazards.   ",563
